Time,Open,High,Low,Close,Volume
2020-01-01T22:00:00.000000000Z,1.12165,1.12205,1.12165,1.12178,32
2020-01-01T22:30:00.000000000Z,1.12171,1.12183,1.12160,1.12171,42
2020-01-01T23:00:00.000000000Z,1.12164,1.12260,1.12164,1.12219,211
2020-01-01T23:30:00.000000000Z,1.12220,1.12226,1.12186,1.12196,55
2020-01-02T00:00:00.000000000Z,1.12194,1.12198,1.12165,1.12170,63
2020-01-02T00:30:00.000000000Z,1.12171,1.12196,1.12166,1.12190,51
2020-01-02T01:00:00.000000000Z,1.12192,1.12253,1.12192,1.12245,128
2020-01-02T01:30:00.000000000Z,1.12241,1.12243,1.12189,1.12215,91
2020-01-02T02:00:00.000000000Z,1.12213,1.12224,1.12191,1.12223,94
2020-01-02T02:30:00.000000000Z,1.12220,1.12255,1.12220,1.12231,43
2020-01-02T03:00:00.000000000Z,1.12228,1.12238,1.12188,1.12188,68
2020-01-02T03:30:00.000000000Z,1.12186,1.12186,1.12131,1.12139,107
2020-01-02T04:00:00.000000000Z,1.12141,1.12149,1.12126,1.12129,48
2020-01-02T04:30:00.000000000Z,1.12126,1.12127,1.12016,1.12019,147
2020-01-02T05:00:00.000000000Z,1.12022,1.12041,1.12018,1.12025,120
2020-01-02T05:30:00.000000000Z,1.12028,1.12051,1.12021,1.12051,73
2020-01-02T06:00:00.000000000Z,1.12051,1.12078,1.12050,1.12059,143
2020-01-02T06:30:00.000000000Z,1.12061,1.12083,1.12046,1.12083,121
2020-01-02T07:00:00.000000000Z,1.12085,1.12107,1.12063,1.12071,368
2020-01-02T07:30:00.000000000Z,1.12074,1.12108,1.12050,1.12103,319
2020-01-02T08:00:00.000000000Z,1.12106,1.12144,1.12057,1.12081,480
2020-01-02T08:30:00.000000000Z,1.12083,1.12132,1.12066,1.12127,319
2020-01-02T09:00:00.000000000Z,1.12126,1.12147,1.12099,1.12107,344
2020-01-02T09:30:00.000000000Z,1.12110,1.12116,1.12019,1.12037,298
2020-01-02T10:00:00.000000000Z,1.12039,1.12046,1.11936,1.11938,205
2020-01-02T10:30:00.000000000Z,1.11936,1.12009,1.11936,1.11990,244
2020-01-02T11:00:00.000000000Z,1.11992,1.12028,1.11947,1.11952,404
2020-01-02T11:30:00.000000000Z,1.11955,1.11959,1.11851,1.11854,400
2020-01-02T12:00:00.000000000Z,1.11852,1.11932,1.11836,1.11922,337
2020-01-02T12:30:00.000000000Z,1.11925,1.11951,1.11907,1.11939,296
2020-01-02T13:00:00.000000000Z,1.11936,1.11977,1.11916,1.11962,318
2020-01-02T13:30:00.000000000Z,1.11960,1.11978,1.11906,1.11971,406
2020-01-02T14:00:00.000000000Z,1.11969,1.11971,1.11774,1.11781,584
2020-01-02T14:30:00.000000000Z,1.11783,1.11808,1.11710,1.11748,724
2020-01-02T15:00:00.000000000Z,1.11746,1.11787,1.11715,1.11746,548
2020-01-02T15:30:00.000000000Z,1.11748,1.12031,1.11733,1.12012,1031
2020-01-02T16:00:00.000000000Z,1.12016,1.12037,1.11838,1.11850,835
2020-01-02T16:30:00.000000000Z,1.11852,1.11870,1.11659,1.11669,541
2020-01-02T17:00:00.000000000Z,1.11668,1.11718,1.11642,1.11713,387
2020-01-02T17:30:00.000000000Z,1.11716,1.11724,1.11654,1.11706,237
2020-01-02T18:00:00.000000000Z,1.11708,1.11719,1.11643,1.11681,346
2020-01-02T18:30:00.000000000Z,1.11679,1.11728,1.11671,1.11710,236
2020-01-02T19:00:00.000000000Z,1.11708,1.11711,1.11685,1.11688,192
2020-01-02T19:30:00.000000000Z,1.11686,1.11689,1.11650,1.11670,230
2020-01-02T20:00:00.000000000Z,1.11672,1.11722,1.11665,1.11719,170
2020-01-02T20:30:00.000000000Z,1.11715,1.11719,1.11675,1.11697,148
2020-01-02T21:00:00.000000000Z,1.11700,1.11742,1.11697,1.11741,60
2020-01-02T21:30:00.000000000Z,1.11736,1.11739,1.11723,1.11735,60
2020-01-02T22:00:00.000000000Z,1.11735,1.11756,1.11729,1.11747,33
2020-01-02T22:30:00.000000000Z,1.11745,1.11747,1.11729,1.11732,25
2020-01-02T23:00:00.000000000Z,1.11734,1.11742,1.11731,1.11736,44
2020-01-02T23:30:00.000000000Z,1.11738,1.11741,1.11709,1.11716,30
2020-01-03T00:00:00.000000000Z,1.11713,1.11744,1.11706,1.11734,66
2020-01-03T00:30:00.000000000Z,1.11731,1.11767,1.11731,1.11762,47
2020-01-03T01:00:00.000000000Z,1.11764,1.11791,1.11754,1.11765,88
2020-01-03T01:30:00.000000000Z,1.11764,1.11775,1.11730,1.11743,157
2020-01-03T02:00:00.000000000Z,1.11746,1.11779,1.11741,1.11771,182
2020-01-03T02:30:00.000000000Z,1.11774,1.11781,1.11727,1.11734,262
2020-01-03T03:00:00.000000000Z,1.11731,1.11741,1.11704,1.11725,156
2020-01-03T03:30:00.000000000Z,1.11728,1.11743,1.11719,1.11729,101
2020-01-03T04:00:00.000000000Z,1.11731,1.11756,1.11731,1.11743,97
2020-01-03T04:30:00.000000000Z,1.11746,1.11749,1.11694,1.11709,86
2020-01-03T05:00:00.000000000Z,1.11711,1.11712,1.11651,1.11670,132
2020-01-03T05:30:00.000000000Z,1.11668,1.11708,1.11665,1.11670,165
2020-01-03T06:00:00.000000000Z,1.11670,1.11690,1.11647,1.11681,207
2020-01-03T06:30:00.000000000Z,1.11684,1.11703,1.11679,1.11697,114
2020-01-03T07:00:00.000000000Z,1.11701,1.11724,1.11574,1.11593,620
2020-01-03T07:30:00.000000000Z,1.11596,1.11608,1.11529,1.11541,680
2020-01-03T08:00:00.000000000Z,1.11545,1.11611,1.11529,1.11590,660
2020-01-03T08:30:00.000000000Z,1.11587,1.11596,1.11513,1.11517,414
2020-01-03T09:00:00.000000000Z,1.11521,1.11528,1.11437,1.11478,471
2020-01-03T09:30:00.000000000Z,1.11476,1.11504,1.11407,1.11408,486
2020-01-03T10:00:00.000000000Z,1.11410,1.11439,1.11324,1.11355,643
2020-01-03T10:30:00.000000000Z,1.11353,1.11375,1.11314,1.11368,406
2020-01-03T11:00:00.000000000Z,1.11366,1.11366,1.11274,1.11304,441
2020-01-03T11:30:00.000000000Z,1.11300,1.11318,1.11255,1.11306,379
2020-01-03T12:00:00.000000000Z,1.11303,1.11333,1.11289,1.11310,252
2020-01-03T12:30:00.000000000Z,1.11308,1.11433,1.11306,1.11399,370
2020-01-03T13:00:00.000000000Z,1.11397,1.11494,1.11384,1.11464,492
2020-01-03T13:30:00.000000000Z,1.11466,1.11483,1.11380,1.11388,316
2020-01-03T14:00:00.000000000Z,1.11386,1.11497,1.11359,1.11471,389
2020-01-03T14:30:00.000000000Z,1.11474,1.11547,1.11470,1.11537,525
2020-01-03T15:00:00.000000000Z,1.11542,1.11712,1.11542,1.11637,1253
2020-01-03T15:30:00.000000000Z,1.11635,1.11682,1.11567,1.11641,657
2020-01-03T16:00:00.000000000Z,1.11643,1.11754,1.11632,1.11743,488
2020-01-03T16:30:00.000000000Z,1.11740,1.11805,1.11718,1.11727,439
2020-01-03T17:00:00.000000000Z,1.11729,1.11746,1.11716,1.11732,264
2020-01-03T17:30:00.000000000Z,1.11730,1.11740,1.11685,1.11730,208
2020-01-03T18:00:00.000000000Z,1.11727,1.11739,1.11705,1.11708,167
2020-01-03T18:30:00.000000000Z,1.11706,1.11724,1.11668,1.11681,395
2020-01-03T19:00:00.000000000Z,1.11679,1.11688,1.11621,1.11636,393
2020-01-03T19:30:00.000000000Z,1.11638,1.11684,1.11623,1.11681,176
2020-01-03T20:00:00.000000000Z,1.11679,1.11679,1.11624,1.11624,144
2020-01-03T20:30:00.000000000Z,1.11625,1.11628,1.11607,1.11623,90
2020-01-03T21:00:00.000000000Z,1.11621,1.11626,1.11585,1.11609,78
2020-01-03T21:30:00.000000000Z,1.11607,1.11661,1.11537,1.11642,202
2020-01-05T22:00:00.000000000Z,1.11711,1.11733,1.11608,1.11627,119
2020-01-05T22:30:00.000000000Z,1.11625,1.11641,1.11610,1.11610,25
2020-01-05T23:00:00.000000000Z,1.11613,1.11684,1.11608,1.11683,234
2020-01-05T23:30:00.000000000Z,1.11681,1.11683,1.11612,1.11612,189
2020-01-06T00:00:00.000000000Z,1.11609,1.11689,1.11609,1.11679,173
2020-01-06T00:30:00.000000000Z,1.11681,1.11691,1.11636,1.11643,136
2020-01-06T01:00:00.000000000Z,1.11645,1.11660,1.11625,1.11641,151
2020-01-06T01:30:00.000000000Z,1.11644,1.11646,1.11621,1.11635,119
2020-01-06T02:00:00.000000000Z,1.11637,1.11673,1.11632,1.11673,89
2020-01-06T02:30:00.000000000Z,1.11670,1.11677,1.11653,1.11661,76
2020-01-06T03:00:00.000000000Z,1.11664,1.11714,1.11664,1.11711,84
2020-01-06T03:30:00.000000000Z,1.11707,1.11717,1.11664,1.11664,165
2020-01-06T04:00:00.000000000Z,1.11666,1.11669,1.11633,1.11640,96
2020-01-06T04:30:00.000000000Z,1.11637,1.11650,1.11624,1.11650,69
2020-01-06T05:00:00.000000000Z,1.11652,1.11657,1.11645,1.11651,49
2020-01-06T05:30:00.000000000Z,1.11654,1.11654,1.11614,1.11630,62
2020-01-06T06:00:00.000000000Z,1.11630,1.11632,1.11579,1.11611,137
2020-01-06T06:30:00.000000000Z,1.11609,1.11621,1.11582,1.11614,135
2020-01-06T07:00:00.000000000Z,1.11612,1.11657,1.11606,1.11637,403
2020-01-06T07:30:00.000000000Z,1.11634,1.11673,1.11623,1.11652,317
2020-01-06T08:00:00.000000000Z,1.11655,1.11705,1.11639,1.11675,413
2020-01-06T08:30:00.000000000Z,1.11678,1.11805,1.11660,1.11796,510
2020-01-06T09:00:00.000000000Z,1.11795,1.11820,1.11758,1.11795,397
2020-01-06T09:30:00.000000000Z,1.11797,1.11943,1.11793,1.11940,472
2020-01-06T10:00:00.000000000Z,1.11938,1.12003,1.11907,1.11969,381
2020-01-06T10:30:00.000000000Z,1.11971,1.11989,1.11932,1.11969,312
2020-01-06T11:00:00.000000000Z,1.11971,1.12061,1.11969,1.12031,490
2020-01-06T11:30:00.000000000Z,1.12033,1.12063,1.12017,1.12038,265
2020-01-06T12:00:00.000000000Z,1.12036,1.12050,1.11965,1.11986,242
2020-01-06T12:30:00.000000000Z,1.11989,1.12005,1.11958,1.11986,192
2020-01-06T13:00:00.000000000Z,1.11989,1.12006,1.11917,1.11964,343
2020-01-06T13:30:00.000000000Z,1.11966,1.12039,1.11957,1.11982,381
2020-01-06T14:00:00.000000000Z,1.11984,1.12008,1.11936,1.11952,308
2020-01-06T14:30:00.000000000Z,1.11955,1.11969,1.11832,1.11838,432
2020-01-06T15:00:00.000000000Z,1.11842,1.11888,1.11835,1.11881,359
2020-01-06T15:30:00.000000000Z,1.11883,1.11908,1.11828,1.11894,594
2020-01-06T16:00:00.000000000Z,1.11896,1.11904,1.11816,1.11863,351
2020-01-06T16:30:00.000000000Z,1.11866,1.11887,1.11853,1.11878,218
2020-01-06T17:00:00.000000000Z,1.11875,1.11967,1.11849,1.11937,233
2020-01-06T17:30:00.000000000Z,1.11935,1.11958,1.11914,1.11958,152
2020-01-06T18:00:00.000000000Z,1.11960,1.11973,1.11938,1.11964,152
2020-01-06T18:30:00.000000000Z,1.11962,1.11985,1.11923,1.11925,112
2020-01-06T19:00:00.000000000Z,1.11923,1.11935,1.11907,1.11926,111
2020-01-06T19:30:00.000000000Z,1.11928,1.11929,1.11886,1.11919,136
2020-01-06T20:00:00.000000000Z,1.11921,1.11923,1.11896,1.11909,122
2020-01-06T20:30:00.000000000Z,1.11907,1.11944,1.11899,1.11942,104
2020-01-06T21:00:00.000000000Z,1.11939,1.11962,1.11937,1.11955,42
2020-01-06T21:30:00.000000000Z,1.11957,1.11999,1.11957,1.11979,77
2020-01-06T22:00:00.000000000Z,1.11975,1.11992,1.11969,1.11977,12
2020-01-06T22:30:00.000000000Z,1.11971,1.11984,1.11967,1.11970,40
2020-01-06T23:00:00.000000000Z,1.11974,1.11985,1.11956,1.11958,52
2020-01-06T23:30:00.000000000Z,1.11955,1.11969,1.11948,1.11962,78
2020-01-07T00:00:00.000000000Z,1.11960,1.11961,1.11940,1.11945,80
2020-01-07T00:30:00.000000000Z,1.11942,1.11942,1.11900,1.11905,84
2020-01-07T01:00:00.000000000Z,1.11903,1.11978,1.11903,1.11973,88
2020-01-07T01:30:00.000000000Z,1.11970,1.11975,1.11940,1.11940,88
2020-01-07T02:00:00.000000000Z,1.11938,1.11940,1.11924,1.11924,46
2020-01-07T02:30:00.000000000Z,1.11925,1.11930,1.11917,1.11923,24
2020-01-07T03:00:00.000000000Z,1.11920,1.11950,1.11920,1.11938,55
2020-01-07T03:30:00.000000000Z,1.11939,1.11950,1.11927,1.11929,47
2020-01-07T04:00:00.000000000Z,1.11928,1.11942,1.11920,1.11937,69
2020-01-07T04:30:00.000000000Z,1.11934,1.11940,1.11913,1.11915,39
2020-01-07T05:00:00.000000000Z,1.11918,1.11932,1.11911,1.11922,40
2020-01-07T05:30:00.000000000Z,1.11920,1.11925,1.11835,1.11837,108
2020-01-07T06:00:00.000000000Z,1.11837,1.11893,1.11816,1.11860,343
